Компания(последняя дата покупки дивидендов);Минимальная стоимость за месяц перед последней датой;Стоимость акции в последний день;Стоимость акции на следующий день после последней даты;Максимальная стоимость за месяц после последней даты;
Мечел, АП (MTLRP 2016-07-07);34.46p. (+5.28%) 8 рабоч.дней_перед;36.28;35.89;38.31p. (+5.60%) 15 рабоч.дней_после
МОСТОТРЕСТ (MSTT 2016-07-07);91.70p. (+6.11%) 19 рабоч.дней_перед;97.30;88.30;89.60p. (-7.91%) 13 рабоч.дней_после
ФСК ЕЭС (FEES 2016-07-07);0.12p. (+34.73%) 19 рабоч.дней_перед;0.16;0.16;0.16p. (-0.24%) 17 рабоч.дней_после
ЛУКОЙЛ (LKOH 2016-07-08);2624.00p. (+6.25%) 16 рабоч.дней_перед;2788.00;2752.00;2887.00p. (+3.55%) 14 рабоч.дней_после
ГК ТНС энерго (TNSE 2016-07-11);1635.00p. (+22.32%) 5 рабоч.дней_перед;2000.00;1840.00;1850.00p. (-7.50%) 13 рабоч.дней_после
АФК Система (AFKS 2016-07-12);19.64p. (+10.82%) 10 рабоч.дней_перед;21.76;21.41;23.45p. (+7.74%) 12 рабоч.дней_после
Сургутнефтегаз, АП (SNGSP 2016-07-14);38.10p. (+8.66%) 21 рабоч.дней_перед;41.40;36.00;36.00p. (-13.04%) 1 рабоч.дней_после
Сургутнефтегаз (SNGS 2016-07-14);31.95p. (+3.16%) 5 рабоч.дней_перед;32.96;32.95;32.95p. (-0.03%) 1 рабоч.дней_после
Россети, АП (RSTIP 2016-07-15);0.88p. (+49.26%) 22 рабоч.дней_перед;1.31;1.29;1.86p. (+41.94%) 20 рабоч.дней_после
Россети (RSTI 2016-07-15);0.60p. (+16.01%) 22 рабоч.дней_перед;0.69;0.71;0.92p. (+33.70%) 19 рабоч.дней_после
АК АЛРОСА (ALRS 2016-07-15);67.55p. (+4.37%) 5 рабоч.дней_перед;70.50;69.00;74.20p. (+5.25%) 16 рабоч.дней_после
Транснефть, АП (TRNFP 2016-07-18);155300.00p. (+3.93%) 6 рабоч.дней_перед;161400.00;158300.00;167000.00p. (+3.47%) 10 рабоч.дней_после
