Компания(последняя дата покупки дивидендов);Рабочих дней от минимальной стоимости до конечной даты;От минимальной стоимости до стоимости в последней дате;Стоимость акции в последний день для получения дивидендов;Стоимость акции на следующий день после последнего дня покупки для получения дивидендов;От стоимости с последней даты до максимальной стоимости после;Рабочих дней от конечной даты до максимальной стоимости;
Транснефть, АП (TRNFP 2019-07-18);21;+0.98%;160000.00;159200.00;-0.31%;3
Северсталь (CHMF 2019-09-13);20;+9.22%;1014.00;1000.00;-1.38%;1
Татнефть им. В.Д. Шашина, АП (TATNP 2019-09-25);21;+6.04%;667.00;631.90;-1.05%;22
Татнефть им. В.Д. Шашина (TATN 2019-09-25);22;+3.22%;740.00;704.90;+2.69%;21
ГМК Норильский никель (GMKN 2019-10-03);14;+6.08%;16602.00;15894.00;+9.58%;19
НОВАТЭК (NVTK 2019-10-08);17;+3.55%;1314.00;1299.20;+5.02%;21
Полюс (PLZL 2019-10-08);20;+5.19%;7680.00;7575.50;-0.83%;20
НЛМК (NLMK 2019-10-08);1;+0.12%;131.58;128.00;+1.25%;21
Корпорация ВСМПО-АВИСМА (VSMO 2019-10-09);22;+4.60%;17740.00;16960.00;+0.34%;21
НК Роснефть (ROSN 2019-10-09);18;+2.71%;421.15;409.00;+10.06%;20
АК АЛРОСА (ALRS 2019-10-10);2;+1.95%;73.20;70.60;+4.21%;19
МТС (MTSS 2019-10-10);2;+4.54%;272.75;268.00;+10.10%;20
ФосАгро (PHOR 2019-10-11);12;+2.16%;2504.00;2485.00;-0.24%;3
ММК (MAGN 2019-10-11);2;+2.96%;37.61;36.69;+4.35%;18
Распадская (RASP 2019-10-17);8;+2.56%;116.24;114.60;+1.60%;2
Северсталь (CHMF 2019-11-29);11;+3.09%;908.00;885.00;+3.33%;20
Акрон (AKRN 2019-12-09);15;+2.09%;4980.00;4894.00;-1.73%;1
Юнипро (UPRO 2019-12-12);19;+1.24%;2.69;2.70;+5.64%;17
М.видео (MVID 2019-12-12);12;+24.97%;600.00;585.00;-2.50%;1
Детский мир (DSKY 2019-12-13);16;+6.17%;98.74;94.50;+8.77%;17
ЛУКОЙЛ (LKOH 2019-12-18);11;+3.49%;6250.50;6079.00;+6.95%;18
ГМК Норильский никель (GMKN 2019-12-25);18;+16.68%;19890.00;19220.00;+9.85%;14
Татнефть им. В.Д. Шашина, АП (TATNP 2019-12-26);16;+10.28%;752.90;739.00;+3.27%;13
Татнефть им. В.Д. Шашина (TATN 2019-12-26);17;+7.46%;789.00;770.00;+5.20%;13
НЛМК (NLMK 2020-01-06);16;+6.88%;141.94;139.50;+5.82%;8
МТС (MTSS 2020-01-08);17;+8.52%;328.15;324.30;+2.53%;12
Магнит (MGNT 2020-01-08);16;+6.08%;3427.00;3348.00;+12.49%;8
ФСК ЕЭС (FEES 2020-01-09);16;+10.02%;0.21;0.21;+7.87%;19
МРСК Центра (MRKC 2020-01-09);19;+14.85%;0.33;0.31;-5.59%;1
МРСК Северо-Запада (MRKZ 2020-01-10);19;+7.93%;0.06;0.05;-0.45%;6
МРСК Сибири (MRKS 2020-01-10);19;+28.14%;0.28;0.27;-0.18%;2
МРСК Волги (MRKV 2020-01-10);19;+6.89%;0.09;0.09;+0.33%;19
МОЭСК (MSRS 2020-01-10);19;+14.33%;1.26;1.24;-0.59%;14
МРСК Центра и Приволжья (MRKP 2020-01-10);18;+13.02%;0.24;0.23;-2.59%;2
ОАО МРСК Урала (MRKU 2020-01-10);10;+4.79%;0.17;0.17;+1.52%;6
ММК (MAGN 2020-01-13);12;+9.34%;44.61;44.28;+6.55%;5
ФосАгро (PHOR 2020-01-31);17;+2.24%;2469.00;2425.00;-1.01%;2
Акрон (AKRN 2020-04-10);23;+12.16%;6034.00;5750.00;-0.60%;8
ЦМТ, АП (WTCMP 2020-05-04);19;+24.94%;10.62;9.68;-8.85%;1
ЦМТ (WTCM 2020-05-04);19;+20.73%;10.60;9.74;-8.11%;1
НОВАТЭК (NVTK 2020-05-06);13;+12.96%;1060.00;1028.00;-2.64%;2
Группа ЛСР (LSRG 2020-05-07);11;+10.82%;624.80;598.60;-4.19%;1
