Компания(последняя дата покупки дивидендов);Рабочих дней от минимальной стоимости до конечной даты;От минимальной стоимости до стоимости в последней дате;Стоимость акции в последний день для получения дивидендов;Стоимость акции на следующий день после последнего дня покупки для получения дивидендов;От стоимости с последней даты до максимальной стоимости после;Рабочих дней от конечной даты до максимальной стоимости;
Юнипро (UPRO 2016-12-15);22;+8.39%;2.97;2.86;+0.91%;18
ЛУКОЙЛ (LKOH 2016-12-21);21;+10.51%;3439.00;3368.00;+3.95%;8
Магнит (MGNT 2016-12-21);16;+4.47%;10676.90;10340.20;+5.55%;8
НЛМК (NLMK 2017-01-05);17;+6.01%;116.00;112.14;+3.53%;19
ФосАгро (PHOR 2017-01-25);19;+10.98%;2819.00;2799.00;+2.59%;6
НОВАТЭК (NVTK 2017-04-27);6;+2.70%;697.10;695.40;-0.16%;5
Банк ВТБ (VTBR 2017-05-04);10;+4.84%;0.07;0.07;+0.16%;11
Московская Биржа (MOEX 2017-05-12);17;+10.54%;115.35;108.90;-5.59%;1
Банк Санкт-Петербург (BSPB 2017-05-29);4;+2.26%;60.10;59.17;+0.33%;2
Корпорация ВСМПО-АВИСМА (VSMO 2017-06-01);12;+2.58%;15880.00;14310.00;-5.92%;20
ММК (MAGN 2017-06-02);1;+0.98%;30.90;29.81;+8.43%;18
ФосАгро (PHOR 2017-06-08);2;-0.18%;2260.00;2260.00;+5.27%;20
НЛМК (NLMK 2017-06-09);20;+5.19%;109.19;104.89;+10.82%;18
Мосэнерго (MSNG 2017-06-09);16;+3.68%;2.33;2.36;+1.27%;1
Сбербанк, АП (SBERP 2017-06-09);1;-0.12%;122.25;116.55;+2.66%;19
Сбербанк (SBER 2017-06-09);1;-1.18%;150.13;146.00;+1.35%;19
МРСК Центра и Приволжья (MRKP 2017-06-14);16;+18.30%;0.18;0.17;+7.93%;18
Группа ЛСР (LSRG 2017-06-16);1;+1.49%;883.00;796.00;-1.59%;15
ОАО МРСК Урала (MRKU 2017-06-16);22;+11.94%;0.15;0.15;+0.67%;8
ТМК (TRMK 2017-06-16);21;+0.94%;74.97;74.30;+3.59%;7
ОГК-2 (OGKB 2017-06-16);18;+11.98%;0.38;0.38;+25.56%;18
Северсталь (CHMF 2017-06-16);2;+3.99%;717.00;684.20;+17.70%;18
МРСК Центра (MRKC 2017-06-19);17;+10.74%;0.48;0.43;-5.42%;22
МОЭСК (MSRS 2017-06-19);1;+0.73%;0.83;0.80;+2.18%;19
Магнит (MGNT 2017-06-21);12;+7.03%;9434.39;9272.50;+2.33%;17
ГМК Норильский никель (GMKN 2017-06-21);13;+6.40%;8290.00;7850.00;+4.86%;20
МРСК Волги (MRKV 2017-06-22);22;+6.34%;0.07;0.07;+13.40%;20
МРСК Северо-Запада (MRKZ 2017-06-22);4;+1.54%;0.04;0.04;+26.33%;21
Энел Россия (ENRU 2017-06-26);20;+11.33%;1.15;1.11;+9.48%;22
НК Роснефть (ROSN 2017-06-29);18;+10.63%;333.00;323.00;-0.18%;3
Юнипро (UPRO 2017-06-30);6;+0.28%;2.51;2.42;-1.40%;13
ЦМТ, АП (WTCMP 2017-07-03);19;+7.73%;6.55;5.78;-5.34%;23
ЦМТ (WTCM 2017-07-03);12;+6.41%;8.30;8.00;+0.60%;11
Татнефть им. В.Д. Шашина (TATN 2017-07-05);13;+10.97%;388.50;370.95;+1.06%;21
Татнефть им. В.Д. Шашина, АП (TATNP 2017-07-05);14;+10.77%;288.00;269.00;-5.31%;10
Ростелеком, АП (RTKMP 2017-07-05);14;+8.04%;58.45;53.80;-7.96%;1
Ростелеком (RTKM 2017-07-05);14;+3.71%;71.88;67.52;-6.07%;1
ТГК-1 (TGKA 2017-07-05);14;+10.48%;0.01;0.01;+5.78%;6
РусГидро (HYDR 2017-07-06);11;+9.79%;0.82;0.78;-1.59%;3
ЛУКОЙЛ (LKOH 2017-07-06);14;+11.17%;2985.00;2856.00;-1.57%;19
МТС (MTSS 2017-07-06);7;+2.39%;237.55;224.05;+2.42%;20
Мечел, АП (MTLRP 2017-07-07);15;+21.73%;122.10;116.40;-4.14%;2
